학교명,학교급구분,설립형태,소재지도로명주소,위도,경도,변경일자
성심여자중학교,중학교,사립,서울특별시 용산구 원효로19길 49,37.53420937,126.9545934,2025-10-25
영락고등학교,고등학교,사립,서울특별시 관악구 청룡16길 25,37.47654259,126.9454164,2025-10-25
세화여자중학교,중학교,사립,서울특별시 서초구 신반포로 56-7,37.5019828,126.99423,2025-10-25
숭의여자고등학교,고등학교,사립,서울특별시 동작구 여의대방로36길 79,37.50736414,126.9292433,2025-10-25
위례솔중학교,중학교,공립,서울특별시 송파구 위례북로2길 10,37.48701307,127.1505867,2025-10-25
서울장평초등학교,초등학교,공립,서울특별시 동대문구 답십리로69길 27,37.57399502,127.073891,2025-10-25
은광여자고등학교,고등학교,사립,서울특별시 강남구 남부순환로359길 36,37.48837857,127.0352324,2025-10-25
서울대진초등학교,초등학교,공립,서울특별시 강남구 개포로109길 74,37.49701211,127.0780425,2025-10-25
서울위례솔초등학교,초등학교,공립,서울특별시 송파구 위례북로2길 12,37.48701307,127.1505867,2025-10-25
서울오금초등학교,초등학교,공립,서울특별시 송파구 위례성대로22길 11,37.50886634,127.1323312,2025-10-25
은성중학교,중학교,사립,서울특별시 강남구 남부순환로359길 36,37.48837857,127.0352324,2025-10-25
서울신길초등학교,초등학교,공립,서울특별시 동작구 알마타길 16,37.51087166,126.9267292,2025-10-25
영동고등학교,고등학교,사립,서울특별시 강남구 선릉로 742,37.52138901,127.0437393,2025-10-25
서울영도초등학교,초등학교,공립,서울특별시 양천구 목동중앙로 70,37.53596257,126.871927,2025-10-25
재현고등학교,고등학교,사립,서울특별시 노원구 덕릉로82길 64,37.66129064,127.0807998,2025-10-25
수도전기공업고등학교,고등학교,사립,서울특별시 강남구 개포로 410,37.48493754,127.0644787,2025-10-25
서울연촌초등학교,초등학교,공립,서울특별시 노원구 공릉로58길 36,37.63441465,127.0725113,2025-10-25
서울미래초등학교,초등학교,공립,서울특별시 구로구 새말로 73,37.50510665,126.8880137,2025-10-25
서울로봇고등학교,고등학교,공립,서울특별시 강남구 광평로20길 63,37.48073174,127.0845761,2025-10-25
서울교육대학교부설초등학교,초등학교,국립,서울특별시 서초구 서초중앙로 96,37.49074049,127.0154245,2025-10-25
서서울생활과학고등학교,고등학교,사립,서울특별시 구로구 오리로 1355-10,37.50382919,126.8282007,2025-10-25
휘경공업고등학교,고등학교,공립,서울특별시 동대문구 겸재로 21,37.58521558,127.0697283,2025-10-25
서울신상계초등학교,초등학교,공립,서울특별시 노원구 상계로 267,37.66751782,127.0758263,2025-10-25
서울은정초등학교,초등학교,공립,서울특별시 양천구 목동남로 85,37.51112797,126.8670434,2025-10-25
구일고등학교,고등학교,공립,서울특별시 구로구 구일로 90-51,37.49350529,126.8746185,2025-10-25
송례중학교,중학교,공립,서울특별시 송파구 위례순환로 429,37.47783301,127.1397415,2025-10-25
서울송례초등학교,초등학교,공립,서울특별시 송파구 위례순환로 439,37.4778913,127.1384402,2025-10-25
정신여자중학교,중학교,사립,서울특별시 송파구 올림픽로4길 16,37.50945384,127.0738473,2025-10-25
남성중학교,중학교,공립,서울특별시 동작구 남부순환로269길 166,37.47900822,126.972489,2025-10-25
상명대학교사범대학부속여자고등학교,고등학교,사립,서울특별시 종로구 홍지문2길 20,37.60410891,126.9551595,2025-10-25
서울강남초등학교,초등학교,공립,서울특별시 동작구 강남초등길 15,37.50619275,126.9533591,2025-10-25
정신여자고등학교,고등학교,사립,서울특별시 송파구 올림픽로4길 16,37.50945384,127.0738473,2025-10-25
오륜중학교,중학교,공립,서울특별시 송파구 양재대로 1242,37.51632395,127.1389238,2025-10-25
서울영상고등학교,고등학교,사립,서울특별시 양천구 목동로11길 46,37.52330444,126.8602935,2025-10-25
동국대학교사범대학부속고등학교,고등학교,사립,서울특별시 동대문구 장안벚꽃로 201,37.57804718,127.075133,2025-10-25
우신고등학교,고등학교,사립,서울특별시 구로구 부일로 917,37.49490231,126.8263536,2025-10-25
서울월계초등학교,초등학교,공립,서울특별시 노원구 월계로45가길 10,37.62762424,127.0501876,2025-10-25
서울원광초등학교,초등학교,공립,서울특별시 노원구 덕릉로76길 18,37.65431092,127.0749142,2025-10-25
서울상봉초등학교,초등학교,공립,서울특별시 중랑구 동일로126가길 11,37.59797895,127.0831714,2025-10-25
서울원촌초등학교,초등학교,공립,서울특별시 서초구 사평대로45길 26,37.50618948,127.0125656,2025-10-25
상명대학교사범대학부속초등학교,초등학교,사립,서울특별시 종로구 홍지문2길 1,37.60044056,126.9567149,2025-10-25
상명대학교사범대학부속여자중학교,중학교,사립,서울특별시 종로구 홍지문2길 20,37.60410891,126.9551595,2025-10-25
고명외식고등학교,고등학교,사립,서울특별시 성북구 북악산로 870,37.59767468,127.0191869,2025-10-25
가재울고등학교,고등학교,공립,서울특별시 서대문구 수색로 100-35,37.57444587,126.9094148,2025-10-25
서울면동초등학교,초등학교,공립,서울특별시 중랑구 면목로57길 32,37.58535152,127.0865922,2025-10-25
서울전농초등학교,초등학교,공립,서울특별시 동대문구 사가정로 66,37.57473031,127.0543331,2025-10-25
원묵고등학교,고등학교,공립,서울특별시 중랑구 숙선옹주로 82,37.61523231,127.0855078,2025-10-25
서울중곡초등학교,초등학교,공립,서울특별시 중랑구 면목로23길 20,37.57489173,127.083439,2025-10-25
서울신내초등학교,초등학교,공립,서울특별시 중랑구 용마산로125나길 22,37.60493422,127.1001285,2025-10-25
중앙중학교,중학교,사립,서울특별시 종로구 창덕궁길 164,37.58378822,126.9874726,2025-10-25
목동중학교,중학교,공립,서울특별시 양천구 목동동로 172,37.5209572,126.8714631,2025-10-25
서울가원초등학교,초등학교,공립,서울특별시 송파구 중대로4길 8,37.48944215,127.1110274,2025-10-25
서울신곡초등학교,초등학교,공립,서울특별시 강서구 등촌로13자길 42-14,37.53909546,126.8560096,2025-10-25
서울구룡초등학교,초등학교,공립,서울특별시 강남구 개포로 263,37.48119739,127.0517714,2025-10-25
서울영화초등학교,초등학교,공립,서울특별시 동작구 등용로8길 3,37.50890811,126.9329735,2025-10-25
서울공진초등학교,초등학교,공립,서울특별시 강서구 마곡서로 33,37.55780477,126.8226104,2025-10-25
서울자곡초등학교,초등학교,공립,서울특별시 강남구 자곡로 150,37.47219072,127.0996665,2025-10-25
서울잠실초등학교,초등학교,공립,서울특별시 송파구 올림픽로35길 20,37.52010753,127.1113114,2025-10-25
봉영여자중학교,중학교,사립,서울특별시 양천구 목동동로2길 68,37.50921598,126.8601984,2025-10-25
안천중학교,중학교,공립,서울특별시 금천구 한내로 69-44,37.45952426,126.8874988,2025-10-25
단국대학교사범대학부속고등학교,고등학교,사립,서울특별시 강남구 도곡로64길 21,37.49561749,127.0577682,2025-10-25
서울불광초등학교,초등학교,공립,서울특별시 은평구 불광로 51,37.61342945,126.9307187,2025-10-25
서울논현초등학교,초등학교,공립,서울특별시 강남구 강남대로120길 33,37.5084232,127.0262229,2025-10-25
서울서원초등학교,초등학교,공립,서울특별시 서초구 고무래로 63,37.5024389,127.0146195,2025-10-25
등명중학교,중학교,공립,서울특별시 강서구 공항대로39길 39,37.56019335,126.8433041,2025-10-25
서울명신초등학교,초등학교,공립,서울특별시 종로구 낙산길 250,37.58146865,127.0146229,2025-10-25
서울한남초등학교,초등학교,공립,서울특별시 용산구 한남대로 112,37.53920365,127.0055998,2025-10-25
홍익디자인고등학교,고등학교,사립,서울특별시 마포구 성미산로 111,37.56351064,126.9191663,2025-10-25
서울잠일초등학교,초등학교,공립,서울특별시 송파구 올림픽로 95,37.51474166,127.0816362,2025-10-25
서울독립문초등학교,초등학교,공립,서울특별시 종로구 통일로12길 23,37.57421553,126.9599722,2025-10-25
인헌중학교,중학교,공립,서울특별시 관악구 인헌9길 35,37.47269621,126.9688402,2025-10-25
대광고등학교,고등학교,사립,서울특별시 동대문구 안암로 6,37.57795467,127.0253235,2025-10-25
선덕고등학교,고등학교,사립,서울특별시 도봉구 시루봉로 53,37.65634868,127.0268766,2025-10-25
서울가주초등학교,초등학교,공립,서울특별시 송파구 오금로40길 37,37.49656722,127.1292617,2025-10-25
오주중학교,중학교,공립,서울특별시 송파구 동남로 281,37.50150661,127.1362653,2025-10-25
서울마천초등학교,초등학교,공립,서울특별시 송파구 마천로61다길 24,37.49550545,127.1526295,2025-10-25
서울신성초등학교,초등학교,공립,서울특별시 관악구 신림로 114,37.47200331,126.9367542,2025-10-25
서울가산초등학교,초등학교,공립,서울특별시 금천구 남부순환로 1304-11,37.47816515,126.8963297,2025-10-25
서울신강초등학교,초등학교,공립,서울특별시 양천구 중앙로55길 72,37.52584419,126.8422639,2025-10-25
서울개명초등학교,초등학교,공립,서울특별시 구로구 개봉로1다길 16-9,37.48303904,126.8509791,2025-10-25
서울오륜초등학교,초등학교,공립,서울특별시 송파구 양재대로 1196,37.51242411,127.1345763,2025-10-25
신관중학교,중학교,공립,서울특별시 관악구 신림로48길 17-16,37.48020125,126.9344522,2025-10-25
중원중학교,중학교,공립,서울특별시 노원구 공릉로 420,37.64423868,127.0680295,2025-10-25
신목중학교,중학교,공립,서울특별시 양천구 목동중앙로 88,37.53702399,126.8730725,2025-10-25
장승중학교,중학교,공립,서울특별시 동작구 장승배기로10가길 25,37.50314858,126.940834,2025-10-25
화곡고등학교,고등학교,사립,서울특별시 강서구 강서로45길 69,37.54793611,126.8315357,2025-10-25
서울원묵초등학교,초등학교,공립,서울특별시 중랑구 숙선옹주로 109,37.61774881,127.0868142,2025-10-25
서울정곡초등학교,초등학교,공립,서울특별시 강서구 방화대로50길 22,37.57695491,126.8189328,2025-10-25
서울대곡초등학교,초등학교,공립,서울특별시 강남구 남부순환로 3022,37.49471064,127.0650265,2025-10-25
단국대학교사범대학부속중학교,중학교,사립,서울특별시 강남구 도곡로64길 21,37.49561749,127.0577682,2025-10-25
태랑중학교,중학교,공립,서울특별시 노원구 화랑로51나길 51,37.62698409,127.0913718,2025-10-25
서울월촌초등학교,초등학교,공립,서울특별시 양천구 목동중앙로 132,37.54069543,126.876258,2025-10-25
서울안천초등학교,초등학교,공립,서울특별시 금천구 한내로 69-16,37.45874564,126.88839,2025-10-25
광영여자고등학교,고등학교,사립,서울특별시 양천구 남부순환로30길 17,37.5371981,126.8232464,2025-10-25
광영고등학교,고등학교,사립,서울특별시 양천구 남부순환로30길 17,37.5371981,126.8232759,2025-10-25
서울가동초등학교,초등학교,공립,서울특별시 송파구 중대로20길 47,37.49741227,127.1300159,2025-10-25
서울대학교사범대학부설여자중학교,중학교,국립,서울특별시 종로구 대학로 64,37.5775997,127.0042955,2025-10-25
방이중학교,중학교,공립,서울특별시 송파구 오금로11길 64,37.51501058,127.1132445,2025-10-25
역삼중학교,중학교,공립,서울특별시 강남구 도곡로43길 10,37.49593388,127.0488444,2025-10-25
서울잠전초등학교,초등학교,공립,서울특별시 송파구 올림픽로12길 51,37.50733791,127.0838499,2025-10-25
서울우장초등학교,초등학교,공립,서울특별시 강서구 화곡로 263,37.54963819,126.8459842,2025-10-25
서울신방학초등학교,초등학교,공립,서울특별시 도봉구 시루봉로 173,37.66668425,127.0289181,2025-10-25
서울개웅초등학교,초등학교,공립,서울특별시 구로구 개봉로11길 98,37.48857132,126.8499823,2025-10-25
영락의료과학고등학교,고등학교,사립,서울특별시 관악구 청룡16길 25,37.47658804,126.9454164,2025-10-25
서울대학교사범대학부설초등학교,초등학교,국립,서울특별시 종로구 대학로 64,37.5775997,127.0042955,2025-10-25
서울염경초등학교,초등학교,공립,서울특별시 강서구 양천로69길 49,37.55500067,126.8712046,2025-10-25
연신중학교,중학교,공립,서울특별시 은평구 연서로33길 16-32,37.62353926,126.9242879,2025-10-25
서울중현초등학교,초등학교,공립,서울특별시 노원구 섬밭로 181,37.63251462,127.0659521,2025-10-25
신원중학교,중학교,공립,서울특별시 양천구 가로공원로55길 19,37.5370925,126.8248419,2025-10-25
서울중계초등학교,초등학교,공립,서울특별시 노원구 한글비석로19길 39,37.65784243,127.0733117,2025-10-25
덕산중학교,중학교,공립,서울특별시 은평구 가좌로 400,37.6022574,126.9046771,2025-10-25
서울금천초등학교,초등학교,공립,서울특별시 금천구 탑골로5길 60,37.45481034,126.9128749,2025-10-25
이화여자대학교사범대학부속초등학교,초등학교,사립,서울특별시 서대문구 성산로 512-39,37.56115022,126.9427504,2025-10-25
휘문중학교,중학교,사립,서울특별시 강남구 역삼로 541,37.50528945,127.0619841,2025-10-25
서울개봉초등학교,초등학교,공립,서울특별시 구로구 개봉로16길 30-11,37.48952491,126.857976,2025-10-25
동광초등학교,초등학교,사립,서울특별시 금천구 탑골로10길 45,37.45199688,126.9158199,2025-10-25
항동중학교,중학교,공립,서울특별시 구로구 연동로 239-2,37.48285456,126.82019,2025-10-25
서울방현초등학교,초등학교,공립,서울특별시 서초구 효령로4길 58,37.47650298,126.9900734,2025-10-25
서울염리초등학교,초등학교,공립,서울특별시 마포구 토정로37길 37,37.54271029,126.945999,2025-10-25
서울윤중초등학교,초등학교,공립,서울특별시 영등포구 여의나루로2길 14,37.51964164,126.9225908,2025-10-25
월곡중학교,중학교,공립,서울특별시 성북구 장월로 6,37.60698163,127.0482588,2025-10-25
서울중평초등학교,초등학교,공립,서울특별시 노원구 섬밭로 241,37.63753357,127.0639651,2025-10-25
서울용동초등학교,초등학교,공립,서울특별시 노원구 한글비석로1길 81-11,37.64108381,127.0690818,2025-10-25
서울신당초등학교,초등학교,공립,서울특별시 중구 난계로 141,37.56362621,127.0236731,2025-10-25
서울자운초등학교,초등학교,공립,서울특별시 도봉구 마들로13길 166,37.65801094,127.0466811,2025-10-25
전일중학교,중학교,공립,서울특별시 동대문구 사가정로13길 67,37.58250018,127.0583795,2025-10-25
창일중학교,중학교,공립,서울특별시 도봉구 노해로66길 60,37.64898751,127.0469136,2025-10-25
가락중학교,중학교,공립,서울특별시 송파구 송이로 45,37.50248553,127.1187527,2025-10-25
서울광남초등학교,초등학교,공립,서울특별시 광진구 아차산로70길 35,37.54078809,127.1006653,2025-10-25
홍익대학교사범대학부속여자중학교,중학교,사립,서울특별시 마포구 성미산로 51,37.55964474,126.9132084,2025-10-25
서울강서초등학교,초등학교,공립,서울특별시 양천구 오목로 31,37.52241272,126.8409879,2025-10-25
경인고등학교,고등학교,공립,서울특별시 구로구 경인로46길 31,37.49599268,126.8654289,2025-10-25
서울신용산초등학교,초등학교,공립,서울특별시 용산구 이촌로 255,37.52062959,126.9753663,2025-10-25
덕원여자고등학교,고등학교,사립,서울특별시 강서구 강서로45길 91-44,37.54862258,126.8290245,2025-10-25
우신중학교,중학교,사립,서울특별시 구로구 부일로 917,37.49490231,126.8263536,2025-10-25
휘경여자중학교,중학교,사립,서울특별시 동대문구 한천로 247,37.58190052,127.0674341,2025-10-25
배문고등학교,고등학교,사립,서울특별시 용산구 효창원로 258,37.54999783,126.9639041,2025-10-25
경희고등학교,고등학교,사립,서울특별시 동대문구 경희대로 26,37.59394914,127.054891,2025-10-25
방원중학교,중학교,공립,서울특별시 강서구 금낭화로 268,37.57597576,126.8086174,2025-10-25
서울사당초등학교,초등학교,공립,서울특별시 관악구 남현4길 51,37.47383628,126.9733501,2025-10-25
서울여자상업고등학교,고등학교,사립,서울특별시 관악구 관악로 85,37.47290457,126.9509181,2025-10-25
서울광진초등학교,초등학교,공립,서울특별시 광진구 자양로40길 41,37.54761146,127.0913325,2025-10-25
서울대학교사범대학부설고등학교,고등학교,국립,서울특별시 성북구 월곡로 6,37.59472384,127.0381204,2025-10-25
전동중학교,중학교,공립,서울특별시 동대문구 장안벚꽃로 291,37.58619359,127.0709291,2025-10-25
광신방송예술고등학교,고등학교,사립,서울특별시 관악구 광신길 141,37.4644762,126.9259406,2025-10-25
동도중학교,중학교,사립,서울특별시 마포구 백범로 139,37.54670177,126.9469053,2025-10-25
서울신림초등학교,초등학교,공립,서울특별시 관악구 문성로28길 31,37.47711985,126.9268767,2025-10-25
서울거여초등학교,초등학교,공립,서울특별시 송파구 마천로25길 18,37.50516942,127.1409011,2025-10-25
서울목동초등학교,초등학교,공립,서울특별시 양천구 목동동로12길 12,37.52280877,126.8721195,2025-10-25
서울미술고등학교,고등학교,사립,서울특별시 관악구 남부순환로247길 26,37.47669631,126.9667485,2025-10-25
서울신원초등학교,초등학교,공립,서울특별시 양천구 남부순환로58길 32,37.52950283,126.829855,2025-10-25
동명여자고등학교,고등학교,사립,서울특별시 은평구 통일로 793,37.61441879,126.9228204,2025-10-25
거원중학교,중학교,공립,서울특별시 송파구 양산로2길 30,37.48772386,127.1465491,2025-10-25
서울잠원초등학교,초등학교,공립,서울특별시 서초구 신반포로16길 15-25,37.501859,126.9980966,2025-10-25
오금중학교,중학교,공립,서울특별시 송파구 오금로35길 20,37.50527064,127.1288011,2025-10-25
서울송화초등학교,초등학교,공립,서울특별시 강서구 방화대로34길 2,37.56769447,126.8168745,2025-10-25
봉화중학교,중학교,공립,서울특별시 중랑구 망우로70길 89,37.59582753,127.1043156,2025-10-25
서울숭인초등학교,초등학교,공립,서울특별시 성북구 오패산로16길 37,37.6091602,127.0382341,2025-10-25
서울송천초등학교,초등학교,공립,서울특별시 강북구 삼양로20길 29,37.6149052,127.0237354,2025-10-25
한성과학고등학교,고등학교,공립,서울특별시 서대문구 통일로 279-79,37.57543617,126.9523709,2025-10-25
서울숭미초등학교,초등학교,공립,서울특별시 도봉구 노해로 179,37.65102344,127.0279443,2025-10-25
서울문성초등학교,초등학교,공립,서울특별시 금천구 시흥대로 460,37.47491196,126.8994492,2025-10-25
서울옥수초등학교,초등학교,공립,서울특별시 성동구 금호로1길 25,37.54552939,127.0218696,2025-10-25
대일고등학교,고등학교,사립,서울특별시 강서구 등촌로35길 90,37.53958612,126.8625699,2025-10-25
서울원당초등학교,초등학교,공립,서울특별시 관악구 봉천로 505,37.48128046,126.9562493,2025-10-25
염창중학교,중학교,공립,서울특별시 강서구 양천로67가길 83,37.55426407,126.8717473,2025-10-25
서울신답초등학교,초등학교,공립,서울특별시 동대문구 천호대로 177,37.57270461,127.0429617,2025-10-25
신도림중학교,중학교,공립,서울특별시 구로구 경인로63길 74,37.51074073,126.8848071,2025-10-25
서울난향초등학교,초등학교,공립,서울특별시 관악구 난향길 9,37.46282189,126.9183368,2025-10-25
서운중학교,중학교,공립,서울특별시 서초구 서운로 115,37.49394851,127.0245382,2025-10-25
문일중학교,중학교,사립,서울특별시 금천구 시흥대로47길 45,37.44891526,126.8987207,2025-10-25
등촌중학교,중학교,사립,서울특별시 강서구 공항대로 484-12,37.55248221,126.8592148,2025-10-25
무학중학교,중학교,공립,서울특별시 성동구 행당로 120,37.55768336,127.0319746,2025-10-25
성동고등학교,고등학교,공립,서울특별시 중구 퇴계로90길 17,37.56411643,127.0223892,2025-10-25
등촌고등학교,고등학교,공립,서울특별시 강서구 공항대로39길 115,37.56294522,126.8450461,2025-10-25
동국대학교사범대학부속중학교,중학교,사립,서울특별시 동대문구 장안벚꽃로 201,37.57804718,127.0751705,2025-10-25
서울청량초등학교,초등학교,공립,서울특별시 동대문구 회기로25길 31,37.5923094,127.0559085,2025-10-25
난우중학교,중학교,공립,서울특별시 관악구 난곡로16길 32,37.46680396,126.9228283,2025-10-25
동덕여자고등학교,고등학교,사립,서울특별시 서초구 효령로2길 123-5,37.47583666,126.991995,2025-10-25
휘경여자고등학교,고등학교,사립,서울특별시 동대문구 한천로 247,37.58190052,127.0674341,2025-10-25
경희초등학교,초등학교,사립,서울특별시 동대문구 경희대로 26,37.59394914,127.054891,2025-10-25
가락고등학교,고등학교,공립,서울특별시 송파구 송이로 42,37.50107579,127.1164258,2025-10-25
서울하늘초등학교,초등학교,공립,서울특별시 마포구 월드컵북로 502-14,37.5858088,126.8808619,2025-10-25
오류고등학교,고등학교,사립,서울특별시 구로구 오리로21길 2,37.50035507,126.827683,2025-10-25
신림고등학교,고등학교,공립,서울특별시 관악구 문성로 119,37.47921049,126.9169672,2025-10-25
강남중학교,중학교,공립,서울특별시 동작구 대방동15길 29,37.50276263,126.9233466,2025-10-25
한천중학교,중학교,공립,서울특별시 노원구 공릉로 265,37.63131395,127.0724683,2025-10-25
강현중학교,중학교,공립,서울특별시 동작구 상도로13라길 22,37.50311599,126.9307563,2025-10-25
경희여자고등학교,고등학교,사립,서울특별시 동대문구 경희대로 26,37.59394914,127.054891,2025-10-25
청원중학교,중학교,사립,서울특별시 노원구 한글비석로 506,37.66525155,127.0625329,2025-10-25
서울동일초등학교,초등학교,공립,서울특별시 노원구 한글비석로 566,37.66481537,127.05417,2025-10-25
동양고등학교,고등학교,사립,서울특별시 강서구 허준로 50,37.56901968,126.8470811,2025-10-25
미림마이스터고등학교,고등학교,사립,서울특별시 관악구 호암로 546,37.4661018,126.9319279,2025-10-25
관악중학교,중학교,공립,서울특별시 관악구 남부순환로237길 60,37.48125828,126.9619123,2025-10-25
영파여자중학교,중학교,사립,서울특별시 송파구 올림픽로 565,37.53273562,127.1197395,2025-10-25
동작중학교,중학교,공립,서울특별시 동작구 동작대로39가길 83,37.49546195,126.9778016,2025-10-25
대성중학교,중학교,사립,서울특별시 은평구 갈현로29길 51-24,37.62314228,126.9097907,2025-10-25
문현중학교,중학교,공립,서울특별시 송파구 충민로 99,37.48058417,127.1279464,2025-10-25
서울숭신초등학교,초등학교,공립,서울특별시 성동구 마장로 161,37.56781934,127.0278897,2025-10-25
동작고등학교,고등학교,공립,서울특별시 동작구 솔밭로 51,37.48260194,126.9650863,2025-10-25
이화여자대학교사범대학부속이화·금란중학교,중학교,사립,서울특별시 서대문구 성산로 520,37.56264282,126.9444886,2025-10-25
서울신영초등학교,초등학교,공립,서울특별시 영등포구 도신로4길 32,37.50100602,126.8960948,2025-10-25
신구중학교,중학교,공립,서울특별시 강남구 압구정로36길 17,37.52744229,127.0316727,2025-10-25
한가람고등학교,고등학교,사립,서울특별시 양천구 목동서로 15,37.53746204,126.8840075,2025-10-25
신림중학교,중학교,공립,서울특별시 관악구 신림로 40,37.47032734,126.946004,2025-10-25
국사봉중학교,중학교,공립,서울특별시 동작구 양녕로20길 20,37.49353263,126.9440557,2025-10-25
서울문정초등학교,초등학교,공립,서울특별시 송파구 문정로5길 20,37.48907284,127.1290135,2025-10-25
상계중학교,중학교,공립,서울특별시 노원구 노원로 398,37.65260154,127.0689222,2025-10-25
서울거원초등학교,초등학교,공립,서울특별시 송파구 양산로2길 26,37.48762503,127.144909,2025-10-25
청원초등학교,초등학교,사립,서울특별시 노원구 한글비석로 506,37.66525155,127.0625329,2025-10-25
서울정화고등학교,고등학교,사립,서울특별시 동대문구 홍릉로15길 50,37.58604864,127.0410703,2025-10-25
서울송정초등학교,초등학교,공립,서울특별시 강서구 공항대로3길 18,37.56223089,126.8102813,2025-10-25
봉원중학교,중학교,공립,서울특별시 관악구 관악로24가길 15,37.48410274,126.9588909,2025-10-25
동마중학교,중학교,공립,서울특별시 성동구 마조로11길 18,37.56280251,127.0403512,2025-10-25
서울과학고등학교,고등학교,공립,서울특별시 종로구 혜화로 63,37.59154805,126.9984363,2025-10-25
양재고등학교,고등학교,공립,서울특별시 서초구 남부순환로346길 9,37.48242164,127.0320796,2025-10-25
서울면남초등학교,초등학교,공립,서울특별시 중랑구 면목로30나길 38,37.57725972,127.0876664,2025-10-25
